prompt_len,cache,pilot,moe_group,expert_gets,hit,miss,hit_pct,tok_s,wall_s,peak_rss_gb,nll,error
512,32,3,0,67456,60799,6657,90.1,1.42,11.67,4.93,11.8422,
512,32,3,1,5045,1805,3240,35.8,1.66,10.06,4.94,11.8422,
512,64,0,0,67456,66560,896,98.7,1.7,9.89,7.19,11.8422,
512,64,0,1,5045,4149,896,82.2,1.76,9.53,7.19,11.8422,
512,64,1,0,67456,66560,896,98.7,1.7,9.9,7.19,11.8422,
512,64,1,1,5045,4149,896,82.2,1.77,9.5,7.19,11.8422,
512,64,2,0,67456,66560,896,98.7,1.69,9.95,7.2,11.8422,
512,64,2,1,5045,4149,896,82.2,1.77,9.52,7.21,11.8422,
512,64,3,0,67456,66560,896,98.7,1.67,10.06,7.21,11.8422,
512,64,3,1,5045,4149,896,82.2,1.77,9.48,7.22,11.8422,
1024,4,0,0,132992,6322,126670,4.8,0.44,36.41,2.44,11.9892,
1024,4,0,1,8025,1,8024,0.0,0.91,18.0,2.44,11.9892,
1024,4,1,0,132992,6524,126468,4.9,0.45,36.02,2.44,11.9892,
1024,4,1,1,8025,224,7801,2.8,0.9,18.16,2.44,11.9892,
1024,4,2,0,132992,6534,126458,4.9,0.45,36.24,2.45,11.9892,
1024,4,2,1,8025,230,7795,2.9,0.91,17.98,2.45,11.9892,
1024,4,3,0,132992,6535,126457,4.9,0.45,36.11,2.44,11.9892,
1024,4,3,1,8025,225,7800,2.8,0.9,18.24,2.45,11.9892,
1024,8,0,0,132992,45504,87488,34.2,0.5,32.3,2.81,11.9892,
1024,8,0,1,8025,591,7434,7.4,0.88,18.48,2.82,11.9892,
1024,8,1,0,132992,45583,87409,34.3,0.5,32.52,2.81,11.9892,
1024,8,1,1,8025,677,7348,8.4,0.9,18.19,2.82,11.9892,
1024,8,2,0,132992,45588,87404,34.3,0.5,32.65,2.81,11.9892,
1024,8,2,1,8025,674,7351,8.4,0.89,18.46,2.82,11.9892,
1024,8,3,0,132992,45595,87397,34.3,0.5,32.56,2.81,11.9892,
1024,8,3,1,8025,683,7342,8.5,0.89,18.44,2.82,11.9892,
1024,16,0,0,132992,90768,42224,68.3,0.57,28.57,3.56,11.9892,
1024,16,0,1,8025,1185,6840,14.8,0.86,18.99,3.57,11.9892,
1024,16,1,0,132992,90872,42120,68.3,0.57,28.6,3.56,11.9892,
1024,16,1,1,8025,1345,6680,16.8,0.86,19.07,3.57,11.9892,
1024,16,2,0,132992,90893,42099,68.3,0.57,28.34,3.56,11.9892,
1024,16,2,1,8025,1382,6643,17.2,0.86,18.91,3.57,11.9892,
1024,16,3,0,132992,90887,42105,68.3,0.57,28.59,3.56,11.9892,
1024,16,3,1,8025,1381,6644,17.2,0.85,19.26,3.57,11.9892,
1024,32,0,0,132992,120887,12105,90.9,0.75,21.87,5.07,11.9892,
1024,32,0,1,8025,1748,6277,21.8,0.86,19.03,5.07,11.9892,
1024,32,1,0,132992,120917,12075,90.9,0.75,21.88,5.07,11.9892,
1024,32,1,1,8025,1832,6193,22.8,0.86,19.15,5.07,11.9892,
1024,32,2,0,132992,120928,12064,90.9,0.74,21.95,5.07,11.9892,
