prompt_len,cache,pilot,moe_group,expert_gets,hit,miss,hit_pct,tok_s,wall_s,peak_rss_gb,nll,error
512,8,0,0,67456,22892,44564,33.9,0.72,22.75,2.68,11.8422,
512,8,0,1,5045,651,4394,12.9,1.63,10.29,2.68,11.8422,
512,8,1,0,67456,22940,44516,34.0,0.72,22.59,2.68,11.8422,
512,8,1,1,5045,721,4324,14.3,1.61,10.43,2.68,11.8422,
512,64,0,0,67456,66560,896,98.7,1.64,10.31,7.19,11.8422,
512,64,0,1,5045,4149,896,82.2,1.73,9.82,7.19,11.8422,
512,64,1,0,67456,66560,896,98.7,1.64,10.36,7.19,11.8422,
512,64,1,1,5045,4149,896,82.2,1.74,9.8,7.19,11.8422,
